_id,name,state,type
60202f76fadad968ef2bfdc9,LOHARDAGA,JHARKHAND,TO
60202f8ffadad968ef2bfdca,JAMTARA,JHARKHAND,TO
60202fa3fadad968ef2bfdcb,PAKUR,JHARKHAND,TO
60202faffadad968ef2bfdcc,KHUNTI,JHARKHAND,TO
60202fc4fadad968ef2bfdcd,CHATRA,JHARKHAND,TO
60203003fadad968ef2bfdce,KODERMA,JHARKHAND,TO
6020301cfadad968ef2bfdcf,PALAMU,JHARKHAND,TO
6020303ffadad968ef2bfdd0,SIMDEGA,JHARKHAND,TO
6020304efadad968ef2bfdd1,SAHEBGANJ,JHARKHAND,TO
60203063fadad968ef2bfdd2,RAMGARH,JHARKHAND,TO
60203186fadad968ef2bfdd3,SARAIKELA KHARSAWAN,JHARKHAND,TO
6020321cfadad968ef2bfdd4,HAZARIBAGH,JHARKHAND,TO
6027cbd200ce1f260eeed5f6,BARGARH,ODISHA,FROM
602a34bea47093222a98e74c,KHANDWA,MADHYA PRADESH,FROM
602a6eee18ded92adcbb8bb1,JHALDA,JHARKHAND,FROM
602f4e4cd3583959de30dfe4,HIMMATNAGAR,GUJARAT,FROM
6030a0b98bb9b16e00c4c121,COIMBATORE,TAMIL NADU,TO
6030a0da8bb9b16e00c4c129,VISAKHAPATNAM,ANDHRA PRADESH,TO
6030a0fa8bb9b16e00c4c12b,MADURAI,TAMIL NADU,TO
6030a1338bb9b16e00c4c12c,KRISHNAGIRI,TAMIL NADU,TO
60310ea18bb9b16e00f9ee8c,NEEMUCH,MADHYA PRADESH,FROM
603380fdff1be968123f7995,COIMBATORE,TAMIL NADU,FROM
6038d4aa38e9fd32b3e89f39,MADURAI,TAMIL NADU,FROM
6038d4b638e9fd32b3e89f3b,SALEM,TAMIL NADU,FROM
6038d4cd38e9fd32b3e95600,MYSURU,KARNATAKA,FROM
603de0ea49f37225173c259b,BALANGIR,ODISHA,TO
603f2ed9eb9b6443130c5ef5,BENGALURU,KARNATAKA,FROM
6047161086e72e6f0f5de00b,NELLORE,ANDHRA PRADESH,TO
6047167d86e72e6f0f5de011,THIRUVANANTHAPURAM,KERALA,TO
6047169386e72e6f0f5de012,KOLLAM,KERALA,TO
604716af86e72e6f0f5de01e,ALAPPUZHA,KERALA,TO
604716d486e72e6f0f5de01f,PATHANAMTHITTA,KERALA,TO
